,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
176,1934,peace,Arthur Henderson,13 September 1863,Glasgow,Scotland,United Kingdom," President, Disarmament Conference in 1932, ex-Foreign Secretary"," World organizing, arms control and disarmament",The Nobel Peace Prize,The Nobel Peace Prize 1934 was awarded to Arthur Henderson.
177,1935,chemistry,Frédéric Joliot,19-Mar-00,Paris,France,," Institut du Radium, Paris, France", Nuclear chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1935 was awarded jointly to Frédéric Joliot and Irène Joliot-Curie in recognition of their synthesis of new radioactive elements
178,1935,chemistry,Irène Joliot-Curie,12 September 1897,Paris,France,," Institut du Radium, Paris, France", Nuclear chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1935 was awarded jointly to Frédéric Joliot and Irène Joliot-Curie in recognition of their synthesis of new radioactive elements
179,1935,medicine,Hans Spemann,27 June 1869,Stuttgart,Württemberg (now Germany),," University of Freiburg im Breisgau, Breisgau, Germany",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1935 was awarded to Hans Spemann for his discovery of the organizer effect in embryonic development.
180,1935,peace,Carl von Ossietzky,3 October 1889,Hamburg,Germany,Germany," Pacifist, Journalist (i.a. <i>die Weltbühne</i>)"," Human rights, arms control and disarmament",The Nobel Peace Prize,The Nobel Peace Prize 1935 was awarded to Carl von Ossietzky.
181,1935,physics,James Chadwick,20 October 1891,Manchester,United Kingdom,," Liverpool University, Liverpool, United Kingdom", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1935 was awarded to James Chadwick for the discovery of the neutron.
182,1936,chemistry,Petrus (Peter) Josephus Wilhelmus Debye,24 March 1884,Maastricht,the Netherlands,," Berlin University, Berlin, Germany, Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik, Berlin, Germany"," Physical chemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1936 was awarded to Peter Debye for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases.
183,1936,literature,Eugene Gladstone O'Neill,16 October 1888,New York NY,USA,USA,, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1936 was awarded to Eugene O'Neill for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy."
184,1936,medicine,Otto Loewi,3 June 1873,Frankfurt-on-the-Main,Germany,," Graz University, Graz, Austria",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1936 was awarded jointly to Sir Henry Hallett Dale and Otto Loewi for their discoveries relating to chemical transmission of nerve impulses
185,1936,medicine,Sir Henry Hallett Dale,9 June 1875,London,United Kingdom,," National Institute for Medical Research, London, United Kingdom",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1936 was awarded jointly to Sir Henry Hallett Dale and Otto Loewi for their discoveries relating to chemical transmission of nerve impulses
186,1936,peace,Carlos Saavedra Lamas,1 November 1878,Buenos Aires,Argentina,Argentina," Foreign Minister, President of the Assembly of the League of Nations, Mediator in a conflict between Paraguay and Bolivia", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1936 was awarded to Carlos Saavedra Lamas.
187,1936,physics,Carl David Anderson,3-Sep-05,New York NY,USA,," California Institute of Technology (Caltech), Pasadena, CA, USA", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1936 was divided equally between Victor Franz Hess for his discovery of cosmic radiation and Carl David Anderson for his discovery of the positron.
188,1936,physics,Victor Franz Hess,24 June 1883,Frauenfeld,Switzerland,," Innsbruck University, Innsbruck, Austria"," Astrophysics, cosmic radiation",The Nobel Prize in Physics,The Nobel Prize in Physics 1936 was divided equally between Victor Franz Hess for his discovery of cosmic radiation and Carl David Anderson for his discovery of the positron.
189,1937,chemistry,Paul Karrer,21 April 1889,Moscow,Russia,," University of Zurich, Zurich, Switzerland"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1937 was divided equally between Walter Norman Haworth for his investigations on carbohydrates and vitamin C and Paul Karrer for his investigations on carotenoids, flavins and vitamins A and B2."
190,1937,chemistry,Walter Norman Haworth,19 March 1883,Chorley,United Kingdom,," Birmingham University, Birmingham, United Kingdom"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1937 was divided equally between Walter Norman Haworth for his investigations on carbohydrates and vitamin C and Paul Karrer for his investigations on carotenoids, flavins and vitamins A and B2."
191,1937,literature,Roger Martin du Gard,23 March 1881,Neuilly-sur-Seine,France,France,, French,The Nobel Prize in Literature,The Nobel Prize in Literature 1937 was awarded to Roger Martin du Gard for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle Les Thibault.
192,1937,medicine,Albert von Szent-Györgyi Nagyrápolt,16 September 1893,Budapest,Austria-Hungary (now Hungary),," Szeged University, Szeged, Hungary",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1937 was awarded to Albert Szent-Györgyi for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid."
193,1937,peace,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",14 September 1864,London,United Kingdom,United Kingdom," Founder and President, International Peace Campaign, Writer, i.a. ex-Lord Privy Seal"," World organizing, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1937 was awarded to Robert Cecil.
194,1937,physics,Clinton Joseph Davisson,22 October 1881,Bloomington IL,USA,," Bell Telephone Laboratories, New York, NY, USA"," Electromagnetism, christallography",The Nobel Prize in Physics,The Nobel Prize in Physics 1937 was awarded jointly to Clinton Joseph Davisson and George Paget Thomson for their experimental discovery of the diffraction of electrons by crystals
195,1937,physics,George Paget Thomson,3 May 1892,Cambridge,United Kingdom,," London University, London, United Kingdom"," Electromagnetism, christallography",The Nobel Prize in Physics,The Nobel Prize in Physics 1937 was awarded jointly to Clinton Joseph Davisson and George Paget Thomson for their experimental discovery of the diffraction of electrons by crystals
196,1938,chemistry,Richard Kuhn,3-Dec-00,Vienna,Austria-Hungary,," Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung, Heidelberg, Germany, University of Heidelberg, Heidelberg, Germany"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1938 was awarded to Richard Kuhn for his work on carotenoids and vitamins.
197,1938,literature,Pearl Buck,26 June 1892,Hillsboro WV,USA,USA,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1938 was awarded to Pearl Buck for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces.
198,1938,medicine,Corneille Jean François Heymans,28 March 1892,Ghent,Belgium,," Ghent University, Ghent, Belgium",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1938 was awarded to Corneille Heymans for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration.
199,1938,peace,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),1921 in Geneva,,Switzerland.,, An international aid organization established by Fridtjof Nansen, Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1938 was awarded to Nansen International Office for Refugees.
200,1938,physics,Enrico Fermi,29-Sep-01,Rome,Italy,," Rome University, Rome, Italy", Nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1938 was awarded to Enrico Fermi for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons."
201,1939,chemistry,Adolf Friedrich Johann Butenandt,24-Mar-03,Bremerhaven-Lehe,Germany,," Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie, Berlin-Dahlem, Germany, Berlin University, Berlin, Germany"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1939 was divided equally between Adolf Friedrich Johann Butenandt for his work on sex hormones and Leopold Ruzicka for his work on polymethylenes and higher terpenes.
202,1939,chemistry,Leopold Ruzicka,13 September 1887,Vukovar,Austria-Hungary (now Croatia),," Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology), Zurich, Switzerland"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1939 was divided equally between Adolf Friedrich Johann Butenandt for his work on sex hormones and Leopold Ruzicka for his work on polymethylenes and higher terpenes.
203,1939,literature,Frans Eemil Sillanpää,16 September 1888,Hämeenkyrö,Russian Empire (now Finland),Finland,, Finnish,The Nobel Prize in Literature,The Nobel Prize in Literature 1939 was awarded to Frans Eemil Sillanpää for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature.
204,1939,medicine,Gerhard Domagk,30 October 1895,Lagow,Germany,," Munster University, Munster, Germany",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1939 was awarded to Gerhard Domagk for the discovery of the antibacterial effects of prontosil.
205,1939,physics,Ernest Orlando Lawrence,8-Aug-01,Canton SD,USA,," University of California, Berkeley, CA, USA"," Accelerator physics, instrumentation",The Nobel Prize in Physics,"The Nobel Prize in Physics 1939 was awarded to Ernest Lawrence for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements."
206,1943,chemistry,George de Hevesy,1 August 1885,Budapest,Austria-Hungary (now Hungary),," Stockholm University, Stockholm, Sweden"," Inorganic chemistry, nuclear chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1943 was awarded to George de Hevesy for his work on the use of isotopes as tracers in the study of chemical processes.
207,1943,medicine,Edward Adelbert Doisy,13 November 1893,Hume IL,USA,," Saint Louis University, St. Louis, MO, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1943 was divided equally between Henrik Carl Peter Dam for his discovery of vitamin K and Edward Adelbert Doisy for his discovery of the chemical nature of vitamin K.
208,1943,medicine,Henrik Carl Peter Dam,21 February 1895,Copenhagen,Denmark,," Polytechnic Institute, Copenhagen, Denmark",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1943 was divided equally between Henrik Carl Peter Dam for his discovery of vitamin K and Edward Adelbert Doisy for his discovery of the chemical nature of vitamin K.
209,1943,physics,Otto Stern,17 February 1888,Sorau (now Zory),Germany (now Poland),," Carnegie Institute of Technology, Pittsburgh, PA, USA", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1943 was awarded to Otto Stern for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton.
210,1944,chemistry,Otto Hahn,8 March 1879,Frankfurt-on-the-Main,Germany,," Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie, Berlin-Dahlem, Germany", Nuclear chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1944 was awarded to Otto Hahn for his discovery of the fission of heavy nuclei.
211,1944,literature,Johannes Vilhelm Jensen,20 January 1873,Farsø,Denmark,Denmark,, Danish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1944 was awarded to Johannes V. Jensen for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style."
212,1944,medicine,Herbert Spencer Gasser,5 July 1888,Platteville WI,USA,," Rockefeller Institute for Medical Research, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1944 was awarded jointly to Joseph Erlanger and Herbert Spencer Gasser for their discoveries relating to the highly differentiated functions of single nerve fibres
213,1944,medicine,Joseph Erlanger,5 January 1874,San Francisco CA,USA,," Washington University, St. Louis, MO, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1944 was awarded jointly to Joseph Erlanger and Herbert Spencer Gasser for their discoveries relating to the highly differentiated functions of single nerve fibres
214,1944,peace,Comité international de la Croix Rouge (International Committee of the Red Cross),1863 in Geneva,,Switzerland,,, Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1944 was awarded to International Committee of the Red Cross.
215,1944,physics,Isidor Isaac Rabi,29 July 1898,Rymanow,Austria-Hungary (now Poland),," Columbia University, New York, NY, USA", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1944 was awarded to Isidor Isaac Rabi for his resonance method for recording the magnetic properties of atomic nuclei.
216,1945,chemistry,Artturi Ilmari Virtanen,15 January 1895,Helsinki,Russian Empire (now Finland),," Helsinki University, Helsinki, Finland", Agricultural chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1945 was awarded to Artturi Virtanen for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method."
217,1945,literature,Gabriela Mistral,7 April 1889,Vicuña,Chile,Chile,, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1945 was awarded to Gabriela Mistral for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world."
218,1945,medicine,Ernst Boris Chain,19-Jun-06,Berlin,Germany,," University of Oxford, Oxford, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1945 was awarded jointly to Sir Alexander Fleming, Ernst Boris Chain and Sir Howard Walter Florey for the discovery of penicillin and its curative effect in various infectious diseases."
219,1945,medicine,Sir Alexander Fleming,6 August 1881,Lochfield,Scotland,," London University, London, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1945 was awarded jointly to Sir Alexander Fleming, Ernst Boris Chain and Sir Howard Walter Florey for the discovery of penicillin and its curative effect in various infectious diseases."
220,1945,medicine,Sir Howard Walter Florey,24 September 1898,Adelaide,Australia,," University of Oxford, Oxford, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1945 was awarded jointly to Sir Alexander Fleming, Ernst Boris Chain and Sir Howard Walter Florey for the discovery of penicillin and its curative effect in various infectious diseases."
221,1945,peace,Cordell Hull,2 October 1871,Olympus TN,USA,USA," Prominent participant in the originating of the United Nations, ex-Secretary of State", World organizing,The Nobel Peace Prize,The Nobel Peace Prize 1945 was awarded to Cordell Hull.
222,1945,physics,Wolfgang Pauli,25-Apr-00,Vienna,Austria,," Princeton University, Princeton, NJ, USA", Quantum mechanics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1945 was awarded to Wolfgang Pauli for the discovery of the Exclusion Principle, also called the Pauli Principle."
223,1946,chemistry,James Batcheller Sumner,19 November 1887,Canton MA,USA,," Cornell University, Ithaca, NY, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1946 was divided, one half awarded to James Batcheller Sumner for his discovery that enzymes can be crystallized,the other half jointly to John Howard Northrop and Wendell Meredith Stanley for their preparation of enzymes and virus proteins in a pure form."
224,1946,chemistry,John Howard Northrop,5 July 1891,Yonkers NY,USA,," Rockefeller Institute for Medical Research, Princeton, NJ, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1946 was divided, one half awarded to James Batcheller Sumner for his discovery that enzymes can be crystallized,the other half jointly to John Howard Northrop and Wendell Meredith Stanley for their preparation of enzymes and virus proteins in a pure form."
225,1946,chemistry,Wendell Meredith Stanley,16-Aug-04,Ridgeville IN,USA,," Rockefeller Institute for Medical Research, Princeton, NJ, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1946 was divided, one half awarded to James Batcheller Sumner for his discovery that enzymes can be crystallized,the other half jointly to John Howard Northrop and Wendell Meredith Stanley for their preparation of enzymes and virus proteins in a pure form."
226,1946,literature,Hermann Hesse,2 July 1877,Calw,Germany,Switzerland,, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1946 was awarded to Hermann Hesse for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style."
227,1946,medicine,Hermann Joseph Muller,,,,," Indiana University, Bloomington, IN, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1946 was awarded to Hermann J. Muller for the discovery of the production of mutations by means of X-ray irradiation.
228,1946,peace,Emily Greene Balch,8 January 1867,Jamaica Plain MA (now Boston),USA,USA," Honorary International President, Women's International League for Peace and Freedom, Formerly Professor of History and Sociology", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1946 was awarded jointly to Emily Greene Balch and John Raleigh Mott
229,1946,peace,John Raleigh Mott,25 May 1865,Livingston Manor NY,USA,USA," President, World Alliance of Young Men's Christian Associations, Chairman, International Missionary Council",,The Nobel Peace Prize,The Nobel Peace Prize 1946 was awarded jointly to Emily Greene Balch and John Raleigh Mott
230,1946,physics,Percy Williams Bridgman,21 April 1882,Cambridge MA,USA,," Harvard University, Cambridge, MA, USA", Material physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1946 was awarded to Percy W. Bridgman for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics."
231,1947,chemistry,Sir Robert Robinson,13 September 1886,Rufford near Chesterfield,United Kingdom,," University of Oxford, Oxford, United Kingdom"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1947 was awarded to Sir Robert Robinson for his investigations on plant products of biological importance, especially the alkaloids."
232,1947,literature,André Paul Guillaume Gide,22 November 1869,Paris,France,France,, French,The Nobel Prize in Literature,"The Nobel Prize in Literature 1947 was awarded to André Gide for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight."
233,1947,medicine,Bernardo Alberto Houssay,10 April 1887,Buenos Aires,Argentina,," Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine), Buenos Aires, Argentina",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1947 was divided, one half jointly to Carl Ferdinand Cori and Gerty Theresa Cori, née Radnitz for their discovery of the course of the catalytic conversion of glycogen and the other half to Bernardo Alberto Houssay for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar."
234,1947,medicine,Carl Ferdinand Cori,5 December 1896,Prague,Austria-Hungary (now Czech Republic),," Washington University, St. Louis, MO, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1947 was divided, one half jointly to Carl Ferdinand Cori and Gerty Theresa Cori, née Radnitz for their discovery of the course of the catalytic conversion of glycogen and the other half to Bernardo Alberto Houssay for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar."
235,1947,medicine,"Gerty Theresa Cori, née Radnitz",15 August 1896,Prague,Austria-Hungary (now Czech Republic),," Washington University, St. Louis, MO, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1947 was divided, one half jointly to Carl Ferdinand Cori and Gerty Theresa Cori, née Radnitz for their discovery of the course of the catalytic conversion of glycogen and the other half to Bernardo Alberto Houssay for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar."
236,1947,peace,American Friends Service Committee (The Quakers),1917 in Washington,DC,USA,,, Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1947 was awarded jointly to Friends Service Council (The Quakers) and American Friends Service Committee (The Quakers)
237,1947,peace,Friends Service Council (The Quakers),1647 in London,,United Kingdom,,," Humanitarian work, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1947 was awarded jointly to Friends Service Council (The Quakers) and American Friends Service Committee (The Quakers)
238,1947,physics,Sir Edward Victor Appleton,6 September 1892,Bradford,United Kingdom,," Department of Scientific and Industrial Research, London, United Kingdom"," Space physics, electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1947 was awarded to Edward V. Appleton for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer.
239,1948,chemistry,Arne Wilhelm Kaurin Tiselius,10-Aug-02,Stockholm,Sweden,," Uppsala University, Uppsala, Sweden", Physical chemistry analytical biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1948 was awarded to Arne Tiselius for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins."
240,1948,literature,Thomas Stearns Eliot,26 September 1888,St. Louis MO,USA,United Kingdom,, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1948 was awarded to T.S. Eliot for his outstanding, pioneer contribution to present-day poetry."
241,1948,medicine,Paul Hermann Müller,12 January 1899,Olten,Switzerland,," Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.), Basel, Switzerland",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1948 was awarded to Paul Müller for his discovery of the high efficiency of DDT as a contact poison against several arthropods.
242,1948,physics,Patrick Maynard Stuart Blackett,18 November 1897,London,United Kingdom,," Victoria University, Manchester, United Kingdom", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1948 was awarded to Patrick M.S. Blackett for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation."
243,1949,chemistry,William Francis Giauque,12 May 1895,Niagara Falls,Canada,," University of California, Berkeley, CA, USA"," Physical chemistry, chemical thermodynamics",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1949 was awarded to William F. Giauque for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures."
244,1949,literature,William Faulkner,25 September 1897,New Albany MO,USA,USA,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1949 was awarded to William Faulkner for his powerful and artistically unique contribution to the modern American novel.
245,1949,medicine,Antonio Caetano de Abreu Freire Egas Moniz,29 November 1874,Avança,Portugal,," University of Lisbon, Lisbon, Portugal, Neurological Institute, Lisbon, Portugal",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1949 was divided equally between Walter Rudolf Hess for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs and Antonio Caetano de Abreu Freire Egas Moniz for his discovery of the therapeutic value of leucotomy in certain psychoses.
246,1949,medicine,Walter Rudolf Hess,17 March 1881,Frauenfeld,Switzerland,," University of Zurich, Zurich, Switzerland",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1949 was divided equally between Walter Rudolf Hess for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs and Antonio Caetano de Abreu Freire Egas Moniz for his discovery of the therapeutic value of leucotomy in certain psychoses.
247,1949,peace,Lord (John) Boyd Orr of Brechin,23 September 1880,Kilmaurs,Scotland,United Kingdom," President, National Peace Council and World Union of Peace Organizations, Prominent organizer and Director, General Food and Agricultural Organization, Alimentary Politician, Physician"," Humanitarian work, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1949 was awarded to Lord Boyd Orr.
248,1949,physics,Hideki Yukawa,23-Jan-07,Tokyo,Japan,," Kyoto Imperial University, Kyoto, Japan, Columbia University, New York, NY, USA", Quantum mechanics,The Nobel Prize in Physics,The Nobel Prize in Physics 1949 was awarded to Hideki Yukawa for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces.
249,1950,chemistry,Kurt Alder,10-Jul-02,Königshütte (now Chorzów),Prussia (now Poland),," Cologne University, Cologne, Federal Republic of Germany", Organic chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1950 was awarded jointly to Otto Paul Hermann Diels and Kurt Alder for their discovery and development of the diene synthesis
250,1950,chemistry,Otto Paul Hermann Diels,23 January 1876,Hamburg,Germany,," Kiel University, Kiel, Federal Republic of Germany", Organic chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1950 was awarded jointly to Otto Paul Hermann Diels and Kurt Alder for their discovery and development of the diene synthesis
251,1950,literature,Earl (Bertrand Arthur William) Russell,18 May 1872,Trelleck,United Kingdom,United Kingdom,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1950 was awarded to Bertrand Russell in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought.
252,1950,medicine,Edward Calvin Kendall,8 March 1886,South Norwalk CT,USA,," Mayo Clinic, Rochester, MN, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1950 was awarded jointly to Edward Calvin Kendall, Tadeus Reichstein and Philip Showalter Hench for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects."
253,1950,medicine,Philip Showalter Hench,28 February 1896,Pittsburgh PA,USA,," Mayo Clinic, Rochester, MN, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1950 was awarded jointly to Edward Calvin Kendall, Tadeus Reichstein and Philip Showalter Hench for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects."
254,1950,medicine,Tadeus Reichstein,20 July 1897,Wloclawek,Poland,," Basel University, Basel, Switzerland",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1950 was awarded jointly to Edward Calvin Kendall, Tadeus Reichstein and Philip Showalter Hench for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects."
255,1950,peace,Ralph Bunche,7-Aug-04,Detroit MI,USA,USA," Acting Mediator in Palestine, 1948, Director, division of Trusteeship, U.N., Professor, Harvard University Cambridge, MA", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1950 was awarded to Ralph Bunche.
256,1950,physics,Cecil Frank Powell,5-Dec-03,Tonbridge,United Kingdom,," Bristol University, Bristol, United Kingdom", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1950 was awarded to Cecil Powell for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method.
257,1951,chemistry,Edwin Mattison McMillan,18-Sep-07,Redondo Beach CA,USA,," University of California, Berkeley, CA, USA", Nuclear chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1951 was awarded jointly to Edwin Mattison McMillan and Glenn Theodore Seaborg for their discoveries in the chemistry of the transuranium elements
258,1951,chemistry,Glenn Theodore Seaborg,19-Apr-12,Ishpeming MI,USA,," University of California, Berkeley, CA, USA", Nuclear chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1951 was awarded jointly to Edwin Mattison McMillan and Glenn Theodore Seaborg for their discoveries in the chemistry of the transuranium elements
259,1951,literature,Pär Fabian Lagerkvist,23 May 1891,Växjö,Sweden,Sweden,, Swedish,The Nobel Prize in Literature,The Nobel Prize in Literature 1951 was awarded to Pär Lagerkvist for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind.
260,1951,medicine,Max Theiler,30 January 1899,Pretoria,South Africa,," Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1951 was awarded to Max Theiler for his discoveries concerning yellow fever and how to combat it.
261,1951,peace,Léon Jouhaux,1 July 1879,Paris,France,France," Delegate U.N., Member Council of I.L.O. (International Labour Organization), Vice President, Fédération syndicale mondiale, Vice President, International Confederation of Free Trade Unions, President, Conseil national économique and International Committee of the European Council, President, Trade Union Confederation C.G.T. Force Ouvrière"," World organizing, human rights",The Nobel Peace Prize,The Nobel Peace Prize 1951 was awarded to Léon Jouhaux.
262,1951,physics,Ernest Thomas Sinton Walton,6-Oct-03,Dungarvan,Ireland,," Trinity College, Dublin, Ireland"," Accelerator physics, nuclear physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1951 was awarded jointly to Sir John Douglas Cockcroft and Ernest Thomas Sinton Walton for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
